shot,true_obs,ml_class,beam8_pred,bp30+osd_pred,nms-ens24_pred,beam8_regret,bp30+osd_regret,nms-ens24_regret
159,2,2,2,2,2,0.000000,0.000000,0.000000
160,5,5,6,6,5,7.780308,7.780308,0.000000
161,6,6,6,6,6,0.000000,0.000000,0.000000
162,0,0,0,0,0,0.000000,0.000000,0.000000
163,0,0,0,0,0,0.000000,0.000000,0.000000
164,10,10,10,10,10,0.000000,0.000000,0.000000
165,0,0,0,0,0,0.000000,0.000000,0.000000
166,6,6,6,6,6,0.000000,0.000000,0.000000
167,0,0,0,0,0,0.000000,0.000000,0.000000
168,0,0,0,0,0,0.000000,0.000000,0.000000
169,0,0,0,0,0,0.000000,0.000000,0.000000
170,0,0,0,0,0,0.000000,0.000000,0.000000
171,0,0,0,0,0,0.000000,0.000000,0.000000
172,15,15,15,15,15,0.000000,0.000000,0.000000
173,0,0,0,0,0,0.000000,0.000000,0.000000
174,0,0,0,0,0,0.000000,0.000000,0.000000
175,0,0,0,0,0,0.000000,0.000000,0.000000
176,0,0,0,0,0,0.000000,0.000000,0.000000
177,0,0,0,0,0,0.000000,0.000000,0.000000
178,0,0,0,0,0,0.000000,0.000000,0.000000
179,8,8,8,8,8,0.000000,0.000000,0.000000
180,0,0,0,0,0,0.000000,0.000000,0.000000
181,9,9,9,9,9,0.000000,0.000000,0.000000
182,12,12,12,12,12,0.000000,0.000000,0.000000
183,8,8,8,8,8,0.000000,0.000000,0.000000
184,0,0,0,0,0,0.000000,0.000000,0.000000
185,4,4,4,4,4,0.000000,0.000000,0.000000
186,4,4,4,4,4,0.000000,0.000000,0.000000
187,0,0,0,0,0,0.000000,0.000000,0.000000
188,0,0,0,0,0,0.000000,0.000000,0.000000
189,0,0,0,0,0,0.000000,0.000000,0.000000
190,2,2,2,2,2,0.000000,0.000000,0.000000
191,0,0,0,0,0,0.000000,0.000000,0.000000
192,0,0,0,0,0,0.000000,0.000000,0.000000
193,0,0,0,0,0,0.000000,0.000000,0.000000
194,0,0,0,0,0,0.000000,0.000000,0.000000
195,8,8,8,8,8,0.000000,0.000000,0.000000
196,0,0,0,0,0,0.000000,0.000000,0.000000
197,0,0,0,0,0,0.000000,0.000000,0.000000
198,0,0,0,0,0,0.000000,0.000000,0.000000
199,0,0,0,0,0,0.000000,0.000000,0.000000
200,0,0,0,0,0,0.000000,0.000000,0.000000
201,0,0,0,0,0,0.000000,0.000000,0.000000
202,0,0,0,0,0,0.000000,0.000000,0.000000
203,1,1,0,1,0,12.792506,0.000000,12.792506
204,10,10,10,10,10,0.000000,0.000000,0.000000
205,12,12,12,12,12,0.000000,0.000000,0.000000
206,4,4,4,4,4,0.000000,0.000000,0.000000
207,0,0,0,0,0,0.000000,0.000000,0.000000
208,0,0,0,0,0,0.000000,0.000000,0.000000
209,2,2,2,2,2,0.000000,0.000000,0.000000
210,0,0,4,0,0,6.683500,0.000000,0.000000
211,8,8,8,8,8,0.000000,0.000000,0.000000
212,0,0,0,0,0,0.000000,0.000000,0.000000
213,7,7,7,7,7,0.000000,0.000000,0.000000
214,2,2,2,2,2,0.000000,0.000000,0.000000
215,0,0,0,0,0,0.000000,0.000000,0.000000
216,0,0,0,0,0,0.000000,0.000000,0.000000
217,0,0,0,0,0,0.000000,0.000000,0.000000
218,0,0,0,0,0,0.000000,0.000000,0.000000
219,4,4,4,4,4,0.000000,0.000000,0.000000
220,0,0,0,0,0,0.000000,0.000000,0.000000
221,12,12,12,15,12,0.000000,7.088825,0.000000
222,2,2,2,2,2,0.000000,0.000000,0.000000
223,0,0,0,0,0,0.000000,0.000000,0.000000
224,2,2,2,2,2,0.000000,0.000000,0.000000
225,0,0,0,0,0,0.000000,0.000000,0.000000
226,0,0,0,0,0,0.000000,0.000000,0.000000
227,6,6,6,6,6,0.000000,0.000000,0.000000
228,6,6,5,5,6,7.780308,7.780308,0.000000
229,0,0,0,0,0,0.000000,0.000000,0.000000
230,0,0,0,0,0,0.000000,0.000000,0.000000
231,6,6,6,6,6,0.000000,0.000000,0.000000
232,0,0,0,0,0,0.000000,0.000000,0.000000
233,0,0,0,0,0,0.000000,0.000000,0.000000
234,9,8,9,9,0,0.000000,0.000000,7.779892
235,0,0,0,0,0,0.000000,0.000000,0.000000
236,0,0,0,0,0,0.000000,0.000000,0.000000
237,13,13,13,13,13,0.000000,0.000000,0.000000
238,4,4,4,4,4,0.000000,0.000000,0.000000
239,0,0,0,0,0,0.000000,0.000000,0.000000
240,0,0,0,0,0,0.000000,0.000000,0.000000
241,0,0,0,0,0,0.000000,0.000000,0.000000
242,0,0,0,0,0,0.000000,0.000000,0.000000
243,0,0,8,0,0,6.683500,0.000000,0.000000
244,8,8,8,8,8,0.000000,0.000000,0.000000
245,4,4,4,4,4,0.000000,0.000000,0.000000
246,9,9,9,9,9,0.000000,0.000000,0.000000
247,0,0,0,0,0,0.000000,0.000000,0.000000
248,0,0,0,0,0,0.000000,0.000000,0.000000
249,0,0,0,0,0,0.000000,0.000000,0.000000
250,15,15,15,15,15,0.000000,0.000000,0.000000
251,0,0,0,0,0,0.000000,0.000000,0.000000
252,0,0,0,0,0,0.000000,0.000000,0.000000
253,4,4,4,4,4,0.000000,0.000000,0.000000
254,0,0,0,0,0,0.000000,0.000000,0.000000
255,0,0,0,0,0,0.000000,0.000000,0.000000
256,5,5,5,5,5,0.000000,0.000000,0.000000
257,4,4,4,4,4,0.000000,0.000000,0.000000
258,0,0,0,0,0,0.000000,0.000000,0.000000
259,0,0,0,0,0,0.000000,0.000000,0.000000
260,0,0,0,0,0,0.000000,0.000000,0.000000
261,8,8,8,8,8,0.000000,0.000000,0.000000
262,6,4,4,6,4,0.000000,0.000831,0.000000
263,9,9,9,9,9,0.000000,0.000000,0.000000
264,2,2,2,2,2,0.000000,0.000000,0.000000
265,11,10,11,10,10,0.000416,0.000000,0.000000
266,12,12,12,12,12,0.000000,0.000000,0.000000
267,0,0,0,0,0,0.000000,0.000000,0.000000
268,10,10,10,10,10,0.000000,0.000000,0.000000
269,0,0,0,0,0,0.000000,0.000000,0.000000
270,0,0,0,0,0,0.000000,0.000000,0.000000
271,0,0,0,0,0,0.000000,0.000000,0.000000
272,0,0,0,0,0,0.000000,0.000000,0.000000
273,0,0,0,0,0,0.000000,0.000000,0.000000
274,0,0,0,0,0,0.000000,0.000000,0.000000
275,0,0,0,0,0,0.000000,0.000000,0.000000
276,0,0,0,0,0,0.000000,0.000000,0.000000
277,0,0,0,0,0,0.000000,0.000000,0.000000
278,0,0,0,0,0,0.000000,0.000000,0.000000
279,0,0,0,0,0,0.000000,0.000000,0.000000
280,2,2,2,2,2,0.000000,0.000000,0.000000
281,0,0,0,0,0,0.000000,0.000000,0.000000
282,0,0,0,0,0,0.000000,0.000000,0.000000
283,6,6,6,6,6,0.000000,0.000000,0.000000
284,8,8,8,8,8,0.000000,0.000000,0.000000
285,0,0,0,0,0,0.000000,0.000000,0.000000
286,0,0,0,0,0,0.000000,0.000000,0.000000
287,0,0,0,0,0,0.000000,0.000000,0.000000
288,12,12,12,12,12,0.000000,0.000000,0.000000
289,0,0,0,0,0,0.000000,0.000000,0.000000
290,0,0,0,0,0,0.000000,0.000000,0.000000
291,0,0,0,0,0,0.000000,0.000000,0.000000
292,0,0,0,0,0,0.000000,0.000000,0.000000
293,0,0,0,0,0,0.000000,0.000000,0.000000
294,0,0,0,0,0,0.000000,0.000000,0.000000
295,0,0,0,0,0,0.000000,0.000000,0.000000
296,0,0,0,0,0,0.000000,0.000000,0.000000
297,0,0,0,0,0,0.000000,0.000000,0.000000
298,0,0,0,0,0,0.000000,0.000000,0.000000
299,0,0,0,0,0,0.000000,0.000000,0.000000
300,5,5,5,5,5,0.000000,0.000000,0.000000
301,0,0,0,0,0,0.000000,0.000000,0.000000
302,15,15,15,15,15,0.000000,0.000000,0.000000
303,0,0,0,0,0,0.000000,0.000000,0.000000
304,0,0,0,0,0,0.000000,0.000000,0.000000
305,8,8,8,8,8,0.000000,0.000000,0.000000
306,12,12,12,12,12,0.000000,0.000000,0.000000
307,12,12,12,12,12,0.000000,0.000000,0.000000
308,0,0,0,0,0,0.000000,0.000000,0.000000
309,0,0,0,0,0,0.000000,0.000000,0.000000
310,0,0,0,0,0,0.000000,0.000000,0.000000
311,0,0,0,0,0,0.000000,0.000000,0.000000
312,0,0,0,0,0,0.000000,0.000000,0.000000
313,0,0,0,0,0,0.000000,0.000000,0.000000
314,0,0,0,0,0,0.000000,0.000000,0.000000
315,13,13,13,13,13,0.000000,0.000000,0.000000
316,0,0,0,0,0,0.000000,0.000000,0.000000
317,0,0,0,0,0,0.000000,0.000000,0.000000
318,0,0,0,0,0,0.000000,0.000000,0.000000
319,0,0,0,0,0,0.000000,0.000000,0.000000
